person_id,name,hierarchy_tier,file_path
p_001,Raju Mehta,Kingpin,data/raw/photos/p_001.jpg
p_002,Aryan Maharaj,Lieutenant,data/raw/photos/p_002.jpg
p_003,Udant Dewan,Lieutenant,data/raw/photos/p_003.jpg
p_004,Gagan Sami,Lieutenant,data/raw/photos/p_004.jpg
p_005,Ayushman Chander,Associate,data/raw/photos/p_005.jpg
p_006,Viraj Tiwari,Associate,data/raw/photos/p_006.jpg
p_007,Rushil Saini,Associate,data/raw/photos/p_007.jpg
p_008,Saumya Mall,Associate,data/raw/photos/p_008.jpg
p_009,Nathaniel Sami,Associate,data/raw/photos/p_009.jpg
p_010,Arunima Dugal,Associate,data/raw/photos/p_010.jpg
p_011,Gayathri Chaudry,Associate,data/raw/photos/p_011.jpg
p_012,Lajita Chatterjee,Associate,data/raw/photos/p_012.jpg
p_013,Hemangini Lalla,Associate,data/raw/photos/p_013.jpg
p_014,Tripti Yadav,Associate,data/raw/photos/p_014.jpg
p_015,Kritika Brar,Associate,data/raw/photos/p_015.jpg
p_016,Janaki Handa,Associate,data/raw/photos/p_016.jpg
p_017,Chakradev Kari,Associate,data/raw/photos/p_017.jpg
p_018,Vikram Solanki,Kingpin,data/raw/photos/p_018.jpg
p_019,Fariq Kaul,Lieutenant,data/raw/photos/p_019.jpg
p_020,Lajita Mall,Lieutenant,data/raw/photos/p_020.jpg
p_021,Janya Gaba,Lieutenant,data/raw/photos/p_021.jpg
p_022,Isha Kadakia,Associate,data/raw/photos/p_022.jpg
p_023,Ekbal Garg,Associate,data/raw/photos/p_023.jpg
p_024,Nihal Shere,Associate,data/raw/photos/p_024.jpg
p_025,Anamika Kanda,Associate,data/raw/photos/p_025.jpg
p_026,Daksh Karnik,Associate,data/raw/photos/p_026.jpg
p_027,Diya Rattan,Associate,data/raw/photos/p_027.jpg
p_028,Dominic Kakar,Associate,data/raw/photos/p_028.jpg
p_029,Simon Tata,Associate,data/raw/photos/p_029.jpg
p_030,Tara Dhar,Associate,data/raw/photos/p_030.jpg
p_031,Liam Koshy,Associate,data/raw/photos/p_031.jpg
p_032,Priya Rastogi,Associate,data/raw/photos/p_032.jpg
p_033,Theodore Devi,Associate,data/raw/photos/p_033.jpg
p_034,Gavin Batta,Associate,data/raw/photos/p_034.jpg
p_035,Imran Sheikh,Kingpin,data/raw/photos/p_035.jpg
p_036,Michael Dutta,Lieutenant,data/raw/photos/p_036.jpg
p_037,Devansh Rajan,Lieutenant,data/raw/photos/p_037.jpg
p_038,Upadhriti Wadhwa,Lieutenant,data/raw/photos/p_038.jpg
p_039,Advay Contractor,Associate,data/raw/photos/p_039.jpg
p_040,Harini Choudhury,Associate,data/raw/photos/p_040.jpg
p_041,Radhika Dugar,Associate,data/raw/photos/p_041.jpg
p_042,Aarush Lall,Associate,data/raw/photos/p_042.jpg
p_043,Yashica Cherian,Associate,data/raw/photos/p_043.jpg
p_044,Yashica Issac,Associate,data/raw/photos/p_044.jpg
p_045,Kashvi Edwin,Associate,data/raw/photos/p_045.jpg
p_046,Ekiya Suresh,Associate,data/raw/photos/p_046.jpg
p_047,Isaac Patil,Associate,data/raw/photos/p_047.jpg
p_048,Wriddhish Bhardwaj,Associate,data/raw/photos/p_048.jpg
p_049,Farhan Chada,Associate,data/raw/photos/p_049.jpg
p_050,Ekapad Walia,Associate,data/raw/photos/p_050.jpg
p_051,Kabir Soman,Associate,data/raw/photos/p_051.jpg
p_052,Deepak Naik,Kingpin,data/raw/photos/p_052.jpg
p_053,Alka Wable,Lieutenant,data/raw/photos/p_053.jpg
p_054,Siddharth Zacharia,Lieutenant,data/raw/photos/p_054.jpg
p_055,Devika Rastogi,Lieutenant,data/raw/photos/p_055.jpg
p_056,Raksha Varughese,Associate,data/raw/photos/p_056.jpg
p_057,Jai Kota,Associate,data/raw/photos/p_057.jpg
p_058,Devansh Nigam,Associate,data/raw/photos/p_058.jpg
p_059,Victor Kannan,Associate,data/raw/photos/p_059.jpg
p_060,Ekavir Bhargava,Associate,data/raw/photos/p_060.jpg
p_061,Ekansh Balay,Associate,data/raw/photos/p_061.jpg
p_062,Ekavir Varkey,Associate,data/raw/photos/p_062.jpg
p_063,Arya Sunder,Associate,data/raw/photos/p_063.jpg
p_064,Kevin Solanki,Associate,data/raw/photos/p_064.jpg
p_065,Urvashi Ray,Associate,data/raw/photos/p_065.jpg
p_066,Girindra Chatterjee,Associate,data/raw/photos/p_066.jpg
