CALLER,RECEIVER,DURATION_SEC,TOWER_ID,DATE
+916330394558,05604954282,123,L16,2024-04-07
05687847033,07919785417,895,L15,2025-01-16
+914296431265,01179039159,375,L15,2025-06-29
+913970569817,+911153515080,213,L16,2023-07-01
4454329400,7443478080,720,L12,2024-09-19
07396619614,01440281795,823,L13,2023-05-06
+915904443371,07919785417,422,L13,2022-07-10
+914910168757,+918326713362,477,L13,2022-08-29
07455419767,1375513672,526,L14,2025-12-15
+914296431265,+914017332760,488,L15,2023-05-15
02197084677,1405174893,618,L13,2024-11-06
+912358454193,6493168362,813,L14,2024-04-29
05415885644,+911895959995,845,L14,2022-01-06
+917106718853,05687847033,598,L15,2025-09-13
+912358454193,1754627811,500,L14,2023-12-08
+912588340080,+915904443371,198,L13,2025-11-29
2970858880,+916719932760,799,L12,2024-04-21
+915904443371,+912588340080,835,L15,2024-02-20
+913279774365,3152821407,672,L15,2022-11-08
3739349217,09326585587,609,L12,2023-11-11
+915580795292,+913770284193,543,L12,2024-07-24
+912081240744,02528090888,675,L12,2022-11-13
+912588340080,+916632859376,351,L15,2025-06-30
01440281795,9968205431,877,L16,2025-10-13
1405174893,+915904443371,740,L16,2024-09-26
07396619614,+911422570088,651,L14,2025-11-02
01488871984,1143445680,449,L12,2022-07-21
+913950966283,+913939091670,34,L14,2022-04-05
3152821407,+915301936643,388,L13,2024-06-01
+918319518275,02528090888,703,L13,2023-01-04
05738442412,09649796664,396,L13,2025-06-23
07455419767,+910466990768,242,L14,2024-08-02
+912588340080,03019893024,828,L14,2024-08-10
+917095178482,6791721909,457,L16,2023-12-09
8601129452,06682596186,711,L15,2023-05-28
9968205431,01179039159,398,L12,2024-09-16
+913467019505,2970858880,593,L14,2023-08-29
07919785417,05687847033,410,L12,2023-07-17
+919116217756,+913939091670,767,L16,2022-04-11
3642506870,05687847033,298,L16,2023-04-17
3152821407,+916719932760,199,L14,2025-06-25
+917095178482,+912081240744,680,L13,2025-10-26
01440281795,00806911792,666,L14,2022-03-22
3152821407,07396619614,378,L12,2022-09-27
9658829813,+915904443371,430,L13,2022-12-26
4454329400,02197084677,379,L16,2024-12-23
+918326713362,05687847033,268,L14,2024-09-13
3642506870,3992755330,122,L12,2024-08-17
7291389047,3739349217,885,L15,2025-10-17
3739349217,3152821407,379,L15,2022-07-04
07919785417,+916614260755,470,L14,2024-01-25
0646320864,2357251175,385,L13,2022-08-10
+912588340080,+918053048497,579,L16,2023-11-03
+916719932760,+911422570088,848,L14,2024-08-08
01440281795,01513152874,51,L14,2022-03-18
03593874176,01513152874,245,L13,2025-01-05
1405174893,+918964618370,765,L16,2025-11-27
5797940050,9135330926,163,L12,2024-04-29
05687847033,02879227893,291,L14,2022-03-09
+910361689527,+913950966283,246,L12,2024-01-13
+911377204389,+918964618370,665,L12,2024-01-05
2588421589,01179039159,130,L12,2024-07-20
03019893024,01440281795,616,L12,2022-02-13
3152821407,+918319518275,133,L13,2025-03-02
+911422570088,+917562745092,217,L13,2025-04-15
2357251175,+916719932760,797,L16,2022-10-30
07919785417,+912358454193,153,L16,2022-09-24
05604954282,05738442412,681,L13,2022-02-22
07919785417,3152821407,248,L14,2025-04-20
07919785417,05781650615,134,L16,2024-05-12
01513152874,+911422570088,464,L16,2024-01-12
03796181062,+912588340080,231,L12,2025-06-13
+917106718853,01970861405,679,L14,2024-12-03
+912588340080,06682596186,67,L15,2024-09-07
05980819939,+915606858100,734,L12,2024-06-27
3318978217,+915904443371,156,L13,2022-05-15
+916947239687,01440281795,566,L14,2025-12-29
1405174893,+910502970960,306,L16,2024-07-18
01787502998,+911826217300,723,L16,2022-08-23
+912081240744,+910361689527,467,L15,2023-04-13
3992755330,+912588340080,430,L14,2022-07-14
05980819939,03019893024,388,L15,2022-11-09
+911422570088,05687847033,100,L12,2024-06-03
3642506870,+918964618370,138,L12,2025-02-13
0646320864,+919116217756,342,L12,2025-10-04
02528090888,+915580795292,773,L12,2024-05-16
+916632859376,03245201232,365,L16,2022-08-01
+911895959995,5871683548,498,L12,2023-04-05
09915489126,+919116217756,122,L16,2023-07-25
+916719932760,07104463104,579,L16,2025-06-27
+917095178482,+919116217756,628,L14,2025-09-09
