CALLER,RECEIVER,DURATION_SEC,TOWER_ID,DATE
4024455022,01864492519,213,L16,2023-07-01
+915348740164,6120183667,823,L13,2023-05-06
07451712368,+913690034324,526,L14,2025-12-15
6120183667,08536153051,877,L16,2025-10-13
6120183667,07652775841,666,L14,2022-03-22
6120183667,+913662994680,51,L14,2022-03-18
02545991022,6120183667,616,L12,2022-02-13
07752047116,6120183667,566,L14,2025-12-29
1820377889,+910524278680,88,L15,2023-07-12
01864492519,02545991022,186,L15,2025-07-10
6120183667,+915841687849,335,L14,2025-07-08
6120183667,+915348740164,729,L15,2024-06-15
04688623924,6120183667,72,L12,2023-11-07
9367632016,+913690034324,91,L16,2023-09-27
08261375060,6120183667,815,L13,2022-10-27
+915546659051,1047095214,635,L12,2022-01-11
08742967175,6120183667,855,L15,2025-11-03
+913690034324,01778528922,42,L13,2023-08-24
+915348740164,6120183667,297,L12,2024-01-02
+913690034324,2327193745,631,L15,2023-08-08
02545991022,+913690034324,568,L14,2025-01-15
6120183667,03755646417,137,L16,2024-06-05
+910524278680,6120183667,595,L13,2023-06-27
+913690034324,04688623924,536,L13,2024-07-24
6120183667,+919832731585,866,L13,2024-02-18
1820377889,1232812067,297,L12,2025-08-15
1047095214,6120183667,541,L13,2024-10-08
6631931491,1820377889,342,L16,2023-09-11
6120183667,+911467866912,381,L13,2025-06-12
+917154516808,+913690034324,487,L13,2025-01-05
01864492519,0147679764,615,L16,2022-06-17
7439533942,+913690034324,84,L12,2025-03-01
1820377889,1047095214,874,L14,2023-04-07
+918053100330,01864492519,746,L16,2025-10-07
+918156149784,+913690034324,411,L16,2023-05-06
6120183667,+913690034324,89,L15,2024-10-20
6120183667,08742967175,883,L16,2022-07-15
1820377889,+914345581223,710,L16,2022-06-10
+913690034324,04688623924,80,L16,2024-07-08
6120183667,+918053100330,678,L15,2024-06-04
+918053100330,6120183667,715,L13,2025-08-14
1746120047,+915546659051,783,L16,2024-06-22
6120183667,03755646417,147,L13,2023-02-28
6120183667,+918156149784,875,L16,2022-05-10
02545991022,+913690034324,6,L15,2023-03-14
6120183667,+917996507527,620,L16,2025-05-13
6120183667,04688623924,817,L15,2023-05-06
0147679764,01864492519,793,L12,2022-05-30
04369957773,+913690034324,723,L13,2022-01-24
04688623924,+913690034324,676,L13,2024-05-08
01864492519,7769453147,11,L12,2024-04-19
+916690967054,+913690034324,369,L16,2024-03-22
6120183667,04688623924,260,L16,2025-07-15
08527722170,+913690034324,446,L13,2025-08-31
08536153051,6120183667,698,L14,2023-02-28
6120183667,01604817549,890,L12,2025-10-29
6120183667,06156545271,310,L12,2025-11-02
+910524278680,6120183667,599,L12,2025-06-25
00139904902,+913690034324,802,L15,2022-06-15
5165604945,6120183667,418,L15,2024-05-28
0515319520,+915546659051,548,L12,2023-01-26
0147679764,6120183667,259,L14,2023-04-09
+917154516808,6120183667,794,L16,2024-12-31
04688623924,6120183667,821,L12,2022-12-08
6120183667,9016272046,874,L15,2024-08-19
6120183667,03982146584,245,L15,2022-06-11
+913690034324,+913662994680,782,L13,2025-09-11
01604817549,+913690034324,51,L15,2022-12-03
+914345581223,+913690034324,743,L12,2024-04-18
+915546659051,+910524278680,653,L16,2025-10-08
+912970213556,01864492519,285,L14,2024-03-25
5220472779,+913690034324,571,L13,2025-07-19
01864492519,+911382675869,601,L15,2025-03-14
1820377889,+915348740164,838,L12,2024-07-15
04479627570,+913690034324,668,L16,2024-01-24
08742967175,+913690034324,163,L13,2022-03-23
1820377889,+914228421020,722,L14,2022-05-29
00576627028,6120183667,529,L13,2022-10-19
00608835615,6120183667,88,L13,2023-07-29
+915546659051,+914345581223,168,L16,2023-01-02
+915348740164,01864492519,242,L14,2022-05-09
+914505331586,6120183667,221,L13,2022-11-04
6120183667,+915348740164,591,L12,2022-10-28
01473210469,6120183667,741,L14,2025-09-17
+918156149784,+913690034324,169,L12,2024-03-07
+913573322141,+915546659051,799,L15,2024-07-28
+911280598262,6120183667,230,L13,2025-10-18
06232858842,6120183667,465,L14,2023-11-17
1232812067,6120183667,153,L14,2022-12-10
+913690034324,01183673657,409,L15,2023-07-10
6937923747,6120183667,551,L14,2023-09-27
05137098593,+915546659051,144,L14,2023-12-06
6120183667,+919832731585,283,L16,2025-12-05
+913690034324,6966416052,243,L13,2022-07-04
04701687339,+913690034324,399,L13,2024-06-26
+911280598262,6120183667,723,L12,2025-01-03
+915348740164,6120183667,402,L15,2025-09-09
05137098593,+913690034324,267,L14,2022-04-11
0147679764,+913690034324,442,L13,2022-08-02
01864492519,06232858842,207,L15,2024-09-26
6120183667,+918053100330,635,L13,2024-12-09
5220472779,6120183667,241,L16,2024-02-19
01864492519,+911161528098,278,L16,2025-05-25
01604817549,6120183667,55,L14,2023-01-24
2322602563,+913690034324,654,L12,2024-01-14
6120183667,+917581814124,217,L13,2022-04-11
+915546659051,08536153051,71,L15,2023-08-23
04688623924,6120183667,498,L15,2022-11-15
+913690034324,00084271094,93,L13,2024-10-14
1241182449,+915546659051,659,L14,2023-03-06
+913690034324,0515319520,649,L15,2025-11-14
2127799799,+913690034324,861,L12,2024-09-23
6631931491,+913690034324,408,L14,2025-07-04
+913690034324,+914499727875,450,L13,2025-01-21
6120183667,02316658760,503,L15,2025-09-09
08557444313,6120183667,597,L16,2022-12-13
6120183667,1820377889,123,L13,2022-04-18
06038597703,+913690034324,490,L13,2023-06-22
+912970213556,6120183667,869,L16,2024-06-03
08414384249,6120183667,730,L12,2022-09-03
+919912419049,6120183667,457,L12,2023-06-15
04846773782,6120183667,667,L14,2022-07-05
6120183667,03755646417,45,L13,2024-02-26
2327193745,6120183667,540,L15,2024-07-11
5171870262,01864492519,230,L16,2023-08-28
6120183667,+913690034324,6,L12,2025-07-08
6120183667,+913690034324,579,L13,2025-12-23
3597820715,01864492519,333,L14,2023-12-24
+913690034324,0147679764,550,L15,2023-08-22
6120183667,08867533963,356,L14,2025-09-04
+913690034324,6499091334,184,L13,2025-12-21
6120183667,+912499471746,301,L13,2025-03-20
1820377889,+914505331586,424,L14,2025-08-01
+913690034324,04688623924,432,L12,2024-08-01
8805929622,+915546659051,48,L12,2023-02-07
1820377889,7383473597,621,L16,2023-02-25
05137098593,+913690034324,293,L16,2022-12-18
01902294131,+913690034324,600,L14,2025-04-30
1820377889,04688623924,414,L15,2023-12-31
07451712368,6120183667,142,L12,2022-03-02
6120183667,04701687339,82,L13,2025-01-02
01343524082,6120183667,833,L15,2025-06-12
01864492519,6120183667,193,L15,2025-07-14
+913690034324,5281685054,669,L16,2022-09-24
04369957773,+913690034324,200,L14,2023-06-30
3183933529,6120183667,92,L15,2022-01-22
6120183667,1829922995,162,L14,2022-09-04
0147679764,+913690034324,453,L12,2024-07-25
01864492519,07451712368,896,L13,2022-07-23
6120183667,08742967175,146,L13,2022-09-09
6120183667,7769453147,776,L15,2024-12-20
6120183667,+918156149784,836,L15,2025-08-21
0147679764,+913690034324,537,L12,2023-05-23
+913036541458,+913690034324,853,L12,2024-04-23
9367632016,+913690034324,137,L16,2025-12-13
3552312432,6120183667,891,L12,2022-12-06
6120183667,00047974801,729,L14,2024-07-16
07451712368,+913690034324,625,L12,2023-03-05
+915546659051,5396218518,234,L14,2022-04-07
6120183667,+918156149784,482,L13,2025-07-01
6474367136,6120183667,788,L12,2024-01-08
06238692221,6120183667,52,L16,2025-06-15
+917996507527,6120183667,291,L16,2022-09-16
3597820715,6120183667,526,L15,2024-02-06
+918156149784,+913690034324,511,L14,2024-08-28
3183933529,6120183667,814,L12,2025-04-10
6120183667,05512567468,89,L16,2023-08-27
01604817549,6120183667,809,L13,2023-07-21
6120183667,+913690034324,110,L14,2024-03-10
00139904902,6120183667,644,L16,2023-03-01
6120183667,+917154516808,73,L15,2023-03-24
03755646417,01864492519,709,L15,2023-10-14
2127799799,+915546659051,639,L12,2022-06-12
6120183667,+911280598262,508,L13,2022-05-24
01864492519,+917581814124,817,L12,2024-09-14
01864492519,+911724005045,90,L16,2023-09-07
+913690034324,+918053100330,199,L12,2022-01-09
06232858842,6120183667,607,L15,2022-05-26
03755646417,01864492519,266,L16,2023-12-15
+913690034324,6120183667,382,L12,2025-11-27
6120183667,08144739473,758,L13,2023-05-21
+918156149784,6120183667,272,L15,2025-05-24
6120183667,+912970213556,412,L16,2025-12-17
00608835615,6120183667,86,L12,2023-08-24
6120183667,+911043289861,831,L15,2023-10-29
6120183667,07451712368,819,L14,2025-11-17
6120183667,06038597703,739,L16,2024-02-21
4958887947,+913690034324,494,L13,2025-07-16
07451712368,+913690034324,390,L14,2022-05-01
+916562729806,+913690034324,873,L12,2023-04-06
+915546659051,06038597703,545,L14,2023-08-03
08536153051,+913690034324,473,L13,2025-09-02
00047974801,6120183667,612,L13,2024-06-07
6120183667,03982146584,39,L13,2022-09-01
6120183667,7439533942,16,L12,2022-09-03
06232858842,6120183667,449,L16,2023-09-04
2327193745,6120183667,280,L13,2025-07-20
+913690034324,+911382675869,668,L16,2024-11-13
6120183667,+917154516808,346,L13,2023-07-14
+912970213556,6120183667,384,L13,2025-12-19
6120183667,+914505331586,317,L14,2024-04-12
08536153051,6120183667,83,L12,2023-05-07
5396218518,+913690034324,118,L14,2023-01-24
6120183667,+916690967054,128,L15,2022-09-28
+913690034324,08144739473,81,L16,2025-01-24
+913690034324,0515319520,782,L14,2025-02-21
6120183667,+917996507527,848,L16,2023-03-07
+913662994680,6120183667,652,L14,2025-05-24
2327193745,6120183667,883,L13,2024-03-20
6120183667,1241182449,171,L15,2022-12-30
+917743487347,+915546659051,459,L14,2022-12-01
6120183667,7214895134,849,L12,2022-04-02
+918156149784,+913690034324,120,L13,2024-10-04
+913690034324,05137098593,800,L13,2025-11-21
+913690034324,6631931491,7,L12,2023-02-21
+910276773592,+913690034324,391,L15,2022-02-23
+917154516808,+913690034324,683,L12,2025-04-06
04688623924,6120183667,204,L12,2023-07-07
0847007661,+915546659051,321,L16,2023-01-20
+913690034324,1047095214,489,L15,2023-06-09
6120183667,+914345581223,131,L15,2025-03-10
00084271094,6120183667,90,L12,2022-10-18
6120183667,+911713900532,42,L13,2023-03-24
6120183667,1047095214,425,L14,2023-12-22
6120183667,+913690034324,882,L12,2022-07-23
+913690034324,+913200379176,126,L16,2025-07-17
00748217594,6120183667,612,L12,2022-11-10
+918053100330,6120183667,232,L13,2023-09-01
6120183667,+911713900532,110,L15,2022-08-16
6120183667,1047095214,833,L15,2024-10-12
+917154516808,6120183667,70,L13,2024-07-09
+918156149784,+913690034324,223,L16,2024-08-11
2617964053,6120183667,703,L14,2024-06-10
+915348740164,6120183667,76,L12,2024-08-20
1820377889,04846773782,574,L15,2023-10-04
6120183667,02545991022,539,L13,2024-12-16
+913036541458,6120183667,754,L13,2024-05-15
6120183667,0784473647,229,L12,2022-08-24
+913690034324,1232812067,8,L13,2022-07-13
1820377889,5165604945,314,L16,2023-05-12
6120183667,08527722170,639,L12,2024-06-29
08742967175,+913690034324,810,L14,2022-10-14
+913690034324,01604817549,679,L14,2024-12-12
+913690034324,+911280598262,897,L14,2022-11-20
6120183667,06238692221,315,L12,2023-04-12
+915546659051,08742967175,854,L15,2025-06-26
+911280598262,+913690034324,270,L12,2023-06-12
+913690034324,+911467866912,392,L12,2025-04-08
4958887947,6120183667,756,L16,2024-05-06
6120183667,+913573322141,189,L12,2024-07-18
+915546659051,1829922995,47,L15,2023-03-08
1820377889,5654310278,687,L13,2023-07-25
+913690034324,00139904902,44,L12,2024-06-06
+913690034324,+915348740164,709,L16,2023-06-23
+918156149784,+913690034324,797,L15,2024-09-17
+914505331586,+913690034324,366,L12,2025-02-06
1820377889,05137098593,518,L15,2024-03-25
01864492519,+913690034324,468,L16,2023-04-04
01864492519,+911280598262,510,L15,2023-06-01
+918156149784,1820377889,818,L16,2024-09-27
+913690034324,01604817549,884,L12,2022-06-16
6120183667,5396218518,358,L12,2025-07-11
+911382675869,6120183667,212,L16,2022-06-08
8805929622,+913690034324,368,L16,2023-10-01
