FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC181247,ACC902784,57687,Cash Deposit,2025-07-02,suspicious
ACC902784,ACC258157,51918,RTGS,2025-10-19,suspicious
ACC258157,ACC181247,46150,NEFT,2022-11-03,suspicious
ACC833442,ACC466960,82034,NEFT,2023-08-22,suspicious
ACC466960,ACC827659,73831,RTGS,2023-12-28,suspicious
ACC827659,ACC833442,65627,RTGS,2022-02-02,suspicious
ACC258157,ACC902784,73123,Cash Deposit,2023-01-29,suspicious
ACC902784,ACC736745,65811,NEFT,2024-12-01,suspicious
ACC736745,ACC258157,58498,Cash Deposit,2024-09-29,suspicious
ACC258157,ACC915451,71300,Cash Deposit,2025-12-05,suspicious
ACC915451,ACC972335,64170,RTGS,2023-06-23,suspicious
ACC972335,ACC258157,57040,Cash Deposit,2024-06-05,suspicious
ACC915451,ACC527398,100042,NEFT,2025-09-12,suspicious
ACC527398,ACC121369,90038,NEFT,2023-11-13,suspicious
ACC121369,ACC915451,80034,NEFT,2022-09-25,suspicious
ACC121369,ACC372793,79676,UPI,2024-02-19,suspicious
ACC372793,ACC359249,71708,RTGS,2024-08-20,suspicious
ACC359249,ACC121369,63741,NEFT,2024-03-06,suspicious
ACC442722,ACC527398,100341,Cash Deposit,2023-11-19,normal
ACC972335,ACC466960,113283,Cash Deposit,2024-04-13,normal
ACC181247,ACC540552,70573,UPI,2025-02-05,normal
ACC609232,ACC527398,119931,NEFT,2025-10-07,normal
ACC972335,ACC121369,135376,NEFT,2022-08-21,normal
ACC540552,ACC452161,64113,NEFT,2022-06-28,normal
ACC972335,ACC466960,20450,RTGS,2022-11-16,normal
ACC442722,ACC540552,29743,NEFT,2025-06-08,normal
ACC666390,ACC442722,26008,RTGS,2022-01-08,normal
ACC972335,ACC827659,15106,RTGS,2022-06-12,normal
ACC540552,ACC549433,126792,RTGS,2023-02-09,normal
ACC442722,ACC666390,77514,NEFT,2025-10-16,normal
ACC508930,ACC452457,22855,UPI,2022-12-27,normal
ACC527398,ACC171951,51635,NEFT,2025-12-04,normal
ACC442722,ACC181247,51033,UPI,2023-10-21,normal
ACC452161,ACC442722,79783,RTGS,2025-05-16,normal
ACC452457,ACC588557,113810,Cash Deposit,2023-05-29,normal
ACC442722,ACC549433,67973,UPI,2023-07-31,normal
ACC540552,ACC442722,114746,RTGS,2022-06-13,normal
ACC359249,ACC442722,25129,Cash Deposit,2023-10-15,normal
ACC486814,ACC372793,85640,Cash Deposit,2024-07-12,normal
ACC442722,ACC609232,132992,RTGS,2023-09-07,normal
ACC540552,ACC736745,51882,UPI,2023-04-13,normal
ACC181247,ACC540552,123882,Cash Deposit,2024-08-03,normal
ACC596564,ACC972335,107707,RTGS,2024-08-07,normal
ACC330080,ACC181247,103073,NEFT,2024-05-09,normal
ACC171951,ACC972335,101996,UPI,2025-07-18,normal
ACC540552,ACC359249,47293,UPI,2022-11-06,normal
ACC827659,ACC359249,125807,Cash Deposit,2022-11-03,normal
ACC540552,ACC915451,104821,Cash Deposit,2022-11-21,normal
ACC972335,ACC466960,74789,UPI,2023-04-12,normal
ACC609232,ACC442722,115470,UPI,2024-06-10,normal
ACC609232,ACC442722,94633,NEFT,2022-08-06,normal
ACC833442,ACC442722,77843,UPI,2022-10-17,normal
ACC549433,ACC452457,58728,RTGS,2024-05-02,normal
ACC359249,ACC540552,43576,Cash Deposit,2023-11-25,normal
ACC442722,ACC508930,33941,UPI,2025-05-11,normal
ACC549433,ACC540552,99872,UPI,2025-11-11,normal
ACC540552,ACC486814,18547,RTGS,2022-02-06,normal
ACC540552,ACC324345,87511,UPI,2025-11-10,normal
ACC442722,ACC121369,126829,Cash Deposit,2023-07-29,normal
ACC442722,ACC540552,52954,Cash Deposit,2022-09-18,normal
ACC972335,ACC372793,62011,UPI,2025-12-21,normal
ACC972335,ACC324345,149665,NEFT,2024-08-20,normal
ACC540552,ACC171951,102700,Cash Deposit,2022-10-31,normal
ACC181247,ACC452457,71732,RTGS,2022-05-18,normal
ACC540552,ACC258157,74406,UPI,2025-12-28,normal
ACC540552,ACC972335,126189,UPI,2023-05-21,normal
ACC442722,ACC540552,128498,UPI,2025-02-24,normal
ACC972335,ACC833442,129060,UPI,2023-10-06,normal
ACC972335,ACC442722,33552,NEFT,2023-08-29,normal
ACC442722,ACC258157,134154,UPI,2023-08-02,normal
ACC972335,ACC902784,4861,Cash Deposit,2023-09-03,normal
ACC258157,ACC588557,9555,RTGS,2025-08-27,normal
ACC181247,ACC330080,40696,RTGS,2024-07-03,normal
ACC372793,ACC442722,84336,Cash Deposit,2022-08-09,normal
ACC330080,ACC258157,120838,UPI,2023-08-07,normal
ACC442722,ACC540552,6444,NEFT,2022-09-11,normal
ACC466960,ACC584125,98684,Cash Deposit,2022-10-18,normal
ACC972335,ACC540552,8675,RTGS,2025-07-11,normal
ACC442722,ACC540552,87618,NEFT,2025-06-09,normal
ACC442722,ACC540552,12323,NEFT,2024-11-13,normal
ACC452457,ACC596564,38676,NEFT,2022-11-07,normal
ACC549433,ACC833442,63607,Cash Deposit,2022-07-08,normal
ACC486814,ACC540552,110171,NEFT,2023-12-05,normal
ACC452457,ACC584125,139541,RTGS,2024-05-02,normal
ACC442722,ACC584125,25454,RTGS,2023-03-01,normal
