FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC321275,ACC360247,43664,Cash Deposit,2023-06-28,suspicious
ACC360247,ACC142185,39298,NEFT,2023-10-10,suspicious
ACC901577,ACC142185,71058,RTGS,2025-06-21,suspicious
ACC644173,ACC901577,56846,Cash Deposit,2025-02-07,suspicious
ACC282256,ACC168517,59579,Cash Deposit,2024-07-04,suspicious
ACC168517,ACC332360,53621,NEFT,2022-01-27,suspicious
ACC751194,ACC360247,44466,NEFT,2024-04-28,normal
ACC718226,ACC168517,23452,Cash Deposit,2022-10-08,normal
ACC760021,ACC889359,72962,UPI,2025-01-02,normal
ACC717113,ACC901577,86208,Cash Deposit,2025-02-08,normal
ACC718226,ACC600935,97976,UPI,2025-07-31,normal
ACC950544,ACC760021,47896,NEFT,2025-02-14,normal
ACC168517,ACC396451,136180,NEFT,2022-04-13,normal
ACC168517,ACC717113,141274,Cash Deposit,2023-04-25,normal
ACC889359,ACC901577,99238,Cash Deposit,2024-10-01,normal
ACC522060,ACC600935,88026,Cash Deposit,2025-04-04,normal
ACC326895,ACC760021,115879,NEFT,2025-01-03,normal
ACC282256,ACC360247,7417,NEFT,2024-08-09,normal
ACC326895,ACC168517,50742,Cash Deposit,2024-01-02,normal
ACC600935,ACC326895,9385,RTGS,2022-11-21,normal
ACC876039,ACC901577,37486,UPI,2024-10-01,normal
ACC878967,ACC360247,74933,RTGS,2025-06-10,normal
ACC760021,ACC326895,125179,Cash Deposit,2024-06-26,normal
ACC718226,ACC168517,5650,NEFT,2023-05-30,normal
ACC901577,ACC600935,148281,UPI,2024-08-30,normal
ACC796212,ACC360247,15531,UPI,2022-03-14,normal
ACC326895,ACC168517,41140,RTGS,2025-01-23,normal
ACC168517,ACC718226,17710,RTGS,2022-07-16,normal
ACC282256,ACC600935,21810,RTGS,2025-09-03,normal
ACC760021,ACC326895,8540,Cash Deposit,2023-06-04,normal
ACC168517,ACC332360,69327,UPI,2023-09-20,normal
ACC332360,ACC600935,80671,NEFT,2025-02-15,normal
ACC901577,ACC396451,136662,RTGS,2025-10-13,normal
ACC341736,ACC600935,17410,Cash Deposit,2022-01-20,normal
ACC273982,ACC901577,25218,NEFT,2025-03-02,normal
ACC717113,ACC168517,36243,RTGS,2022-06-25,normal
ACC168517,ACC326895,66210,NEFT,2022-03-25,normal
ACC751194,ACC901577,98830,Cash Deposit,2025-11-22,normal
ACC760021,ACC332360,70702,Cash Deposit,2025-11-11,normal
ACC522060,ACC600935,95981,UPI,2025-07-28,normal
ACC713762,ACC901577,38566,Cash Deposit,2025-02-03,normal
ACC950544,ACC600935,9765,UPI,2022-07-03,normal
ACC360247,ACC878967,85322,UPI,2022-07-27,normal
ACC760021,ACC168517,80993,UPI,2022-10-26,normal
ACC360247,ACC600935,2660,RTGS,2025-10-01,normal
ACC185131,ACC360247,74673,RTGS,2025-04-16,normal
ACC360247,ACC713762,108208,NEFT,2023-06-16,normal
ACC141797,ACC168517,32612,NEFT,2023-05-08,normal
ACC282256,ACC760021,27926,RTGS,2025-04-22,normal
ACC528361,ACC901577,13950,RTGS,2022-08-03,normal
ACC360247,ACC321275,7933,UPI,2024-08-25,normal
ACC901577,ACC876039,118297,NEFT,2024-12-06,normal
ACC600935,ACC342720,16742,RTGS,2023-04-10,normal
ACC342720,ACC600935,42534,UPI,2022-09-23,normal
ACC168517,ACC836996,53895,Cash Deposit,2024-09-20,normal
ACC522060,ACC760021,5861,Cash Deposit,2022-12-14,normal
ACC326895,ACC901577,26503,Cash Deposit,2022-01-07,normal
